年份	进出口标识	贸易方式代码	贸易方式名称	产消国代码	产消国名称	商品代码	商品名称	经营单位代码	经营单位名称	金额
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	304	德国	39235000	塑料塞子、盖子及类似品	1105940821	泽普林固体物料技术(北京)有限公司	104
2016	进口	01	一般贸易	502	美国	40169310	硫化橡胶制机器及仪器垫片、垫圈等密封垫	3112955056	上海心海供应链发展有限公司	2260
2016	进口	01	一般贸易	136	泰国	74102110	印制电路用覆铜板	1303261430	碁鼎科技秦皇岛有限公司	162359
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	304	德国	84839000	单独报验的带齿的轮等;8483货品的其他零件	3118930803	韦乐海茨(上海)医药设备科技有限公司	118
2016	进口	01	一般贸易	502	美国	90262090	其他测量、检验压力的仪器及装置	3122211217	上海外联发进出口有限公司	8618
2016	进口	01	一般贸易	136	泰国	85444221	有接头电缆，80V＜额定电压≤1000V	3104340360	捷普科技(上海)有限公司	8033
2016	进口	01	一般贸易	502	美国	85234920	已录制用于重放声音、图像以外信息的，品目84.71	3122241621	思尔芯(上海)信息科技有限公司	4219
2016	进口	01	一般贸易	142	中国	68042290	其他粘聚磨料或陶瓷制石磨、石碾等及其零件	3122267953	上海虎桥进出口有限公司	4158
2016	进口	02	加工贸易（代码修正）	116	日本	85065000	锂的原电池及原电池组	4419949441	东莞蓝创捷特佳电子有限公司	24760
2016	进口	01	一般贸易	143	台澎金马关税区	87149100	品目8711至8713其他车辆车架、轮叉及其零件	1216941009	顺达康（天津）自行车有限公司	55146
2016	进口	01	一般贸易	323	列支敦士登	90262010	压力/差压变送器	3701343757	鲍迪克（济南）热处理技术有限公司	404
2016	进口	01	一般贸易	142	中国	61044100	毛制针织或钩编的女式连衣裙	4403160620	深圳市意可利达有限公司	8150
2016	进口	01	一般贸易	312	西班牙	68159939	其他碳纤维制品	2101911324	沈阳南方航空进出口贸易有限公司	734
2016	进口	01	一般贸易	137	土耳其	83012090	机动车用其他锁	3116940292	杰西博工程机械(上海)有限公司	39
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	601	澳大利亚	20071000	均化食品	4419916002	东莞市邮政速递电子商务服务有限公司	25681
2016	进口	02	加工贸易（代码修正）	116	日本	39206200	聚对苯二甲酸乙二酯非泡沫塑料板、片、膜等	4469947311	东莞谷川包装制品有限公司	16206
2016	进口	02	加工贸易（代码修正）	143	台澎金马关税区	59119000	未列名作专门技术用途的纺织产品及制品	4469947021	东莞恒殷电子有限公司	23727
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	143	台澎金马关税区	70199090	未列名玻璃纤维制品	3204531001	晶品光电(常州)有限公司	7318
2016	进口	01	一般贸易	133	韩国	66019900	其他雨伞及阳伞	440316458U	深圳市丰伟通贸易有限公司	20
2016	进口	01	一般贸易	143	台澎金马关税区	76169910	其他工业用铝制品	3223962067	江苏日久光电股份有限公司	80
2016	进口	01	一般贸易	142	中国	85319010	防盗或防火报警器及类似装置的零件	3505945371	福建大新消防器材科技有限公司	43808
2016	进口	01	一般贸易	305	法国	83081000	贱金属制钩、环、眼	1105942690	科乐收农业机械贸易(北京)有限责任公司	2396
2016	进口	01	一般贸易	116	日本	84814000	安全阀或溢流阀	1207230020	迪安汽车部件(天津)有限公司	1686
2016	进口	02	加工贸易（代码修正）	350	斯洛文尼亚	85049090	品目8504所列其他货品的零件	441994399W	东莞光顺电子有限公司	1110
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	304	德国	98040000	低值简易通关商品	3118941614	比勒(上海)自动化技术有限公司	1021
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	330	瑞典	98040000	低值简易通关商品	3316940495	博雷(中国)控制系统有限公司	1256
2016	进口	01	一般贸易	116	日本	96121000	打字机色带等已着色色带	1108340137	理光感热技术(北京)有限公司	190177
2016	进口	01	一般贸易	502	美国	73182400	销及开尾销	1114940254	纳博克自动门(北京)有限公司	917
2016	进口	01	一般贸易	304	德国	39081090	其他初级形状聚酰胺-6、-11、-12、-6，6、	1215961248	欧文托普（天津）暖通设备有限公司	7213
2016	进口	02	加工贸易（代码修正）	116	日本	60062200	棉制染色其他针织或钩编织物	4419943077	乐活制衣(东莞)有限公司	267
2016	进口	01	一般贸易	137	土耳其	48201000	帐本、笔记本、收据本、日记本及类似品	4403160DDU	深圳市永福禄贸易有限公司	1200
2016	进口	02	加工贸易（代码修正）	133	韩国	48211000	纸或纸板制的各种标签，印有文字图画	2116962199	海城达霓制衣有限公司	1191
2016	进口	01	一般贸易	143	台澎金马关税区	84662000	工件夹具	3502945082	厦门厦晖橡胶金属工业有限公司	4384
2016	进口	02	加工贸易（代码修正）	133	韩国	95073000	钓线轮	3710941963	威海怡隆渔具有限公司	198280
2016	进口	02	加工贸易（代码修正）	122	马来西亚	85423900	其他集成电路	3205240081	伟创力电子技术(苏州)有限公司	50272165
2016	进口	02	加工贸易（代码修正）	502	美国	85051900	其他永磁铁及磁化后准备制永磁铁的物品	4419944764	东莞依美电感元件有限公司	7833
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	502	美国	29349990	未列名杂环化合物	3201948093	南京美新诺医药科技有限公司	214
2016	进口	01	一般贸易	304	德国	39269090	未列名塑料制品	1114961158	北京市第五季家具有限公司	15400
2016	进口	01	一般贸易	303	英国	90258000	其他液体比重计、湿度计、干湿球湿度计等	3206946249	泰莱食品配料(南通)有限公司	60
2016	进口	01	一般贸易	331	瑞士	85045000	其他电感器	3701910510	济南二机床集团有限公司	2617
2016	进口	01	一般贸易	328	罗马尼亚	84879000	未列名的机器零件，不具有电气器材特征的	4419940939	东莞海金杜门五金制品有限公司	1110
2016	进口	02	加工贸易（代码修正）	304	德国	85176232	以太网络交换机	2103361662	辽宁中新自动控制集团股份有限公司	7017
2016	进口	01	一般贸易	143	台澎金马关税区	85177090	品目8517所列设备用其他零件	4403966753	深圳市亚派光电器件有限公司	1505675
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	116	日本	90241090	其他金属材料的试验用机器及器具	3304940544	津上精密机床(浙江)有限公司	415
2016	进口	01	一般贸易	132	新加坡	85332110	额定功率≤20瓦的片式固定电阻器	3402940135	安徽世福仪器有限公司	251
2016	进口	01	一般贸易	502	美国	44079100	经纵锯纵切、刨或旋切的栎木木材，厚＞6mm	3702964011	青岛盛阳进出口有限公司	371862
2016	进口	01	一般贸易	143	台澎金马关税区	39173900	未列名塑料管	3502945163	杏晖光学(厦门)有限公司	429
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	303	英国	49111010	无商业价值的商业广告品、商品目录等印刷品	3122261011	上海协源国际贸易有限公司	1301
2016	进口	01	一般贸易	116	日本	90021990	未列名物镜	3202340237	航空电子(无锡)有限公司	335
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	133	韩国	85322410	片式多层瓷介电容器	4420W40001	中山近铁物流有限公司	93225
2016	进口	02	加工贸易（代码修正）	326	挪威	85269190	其他无线电导航设备	1113210096	中航国际船舶发展（北京）有限公司	10120
2016	进口	01	一般贸易	116	日本	85389000	品目8535、8536或8537所列装置的其他零件	5012230022	重庆雅马拓科技有限公司	4841
2016	进口	03	除一般贸易及加工贸易外合计（代码修正）	502	美国	98040000	低值简易通关商品	3702936575	青岛雅东制衣有限公司	1056
2016	进口	01	一般贸易	331	瑞士	85359000	其他开关、保护或连接用电气装置，电压＞1000V	1102919182	中机国际招标有限公司	10721
2016	进口	01	一般贸易	307	意大利	59031090	其他聚氯乙烯浸涂、包覆或层压的纺织物	1207240348	格拉默车辆内饰(天津)有限公司	3060
2016	进口	01	一般贸易	502	美国	68159990	未列名石制品及其他矿物制品	3117960764	上海恒封密封制品有限公司	5371
2016	进口	01	一般贸易	331	瑞士	90268090	未列名测量或检验液体或气体变化量的仪器及装置	3316940499	奥伯尼工程纺织品(杭州)有限公司	13117
2016	进口	01	一般贸易	142	中国	85044091	具有变流功能的半导体模块	4453160623	深圳市鼎承进出口有限公司	325807
